variant,project,mean_apfd,std_apfd,median_apfd,n_builds_with_failures,alpha,train_time,eval_time
alpha_0.5,adamfisk@LittleProxy,0.703429992068512,0.14458743136604385,0.7000000000000001,17,0.5,0.33617329597473145,0.7193779945373535
alpha_0.7,adamfisk@LittleProxy,0.7037931002747575,0.1443859951991503,0.7000000000000001,17,0.7,0.37304019927978516,0.6518526077270508
alpha_1.0,adamfisk@LittleProxy,0.5415459349106148,0.1560464034216695,0.5119047619047619,17,1.0,0.34459829330444336,0.7142131328582764
alpha_optimized,adamfisk@LittleProxy,0.703429992068512,0.14458743136604385,0.7000000000000001,17,0.0,0.4883582592010498,0.23492717742919922
dnn_epochs_5,adamfisk@LittleProxy,0.7238153139532573,0.1191181202815911,0.6785714285714285,17,0.0,0.5077085494995117,0.24615025520324707
dnn_epochs_10,adamfisk@LittleProxy,0.7301733691579099,0.13052343682519674,0.7058823529411765,17,0.0,0.479600191116333,0.2529466152191162
dnn_epochs_20,adamfisk@LittleProxy,0.7381964708717137,0.1323435250401868,0.75,17,0.0,0.5008289813995361,0.22062969207763672
pos_weight_10,adamfisk@LittleProxy,0.7455506325799699,0.10013064834981934,0.7142857142857143,17,0.0,0.35697126388549805,0.2723402976989746
pos_weight_25,adamfisk@LittleProxy,0.7308719070592605,0.10476411468863014,0.7142857142857143,17,0.8,0.3464088439941406,0.6451101303100586
pos_weight_100,adamfisk@LittleProxy,0.7158681263636244,0.1373291410623805,0.7314814814814815,17,0.9,0.4574620723724365,0.6580407619476318
alpha_0.0,apache@sling,0.971740795279736,0.045346906538571145,0.989247311827957,982,0.0,0.4601151943206787,6.743236303329468
alpha_0.3,apache@sling,0.9717380430366579,0.045345601386638644,0.989247311827957,982,0.3,0.5090141296386719,232.35135769844055
alpha_0.5,apache@sling,0.9717380430366579,0.045345601386638644,0.989247311827957,982,0.5,0.48728489875793457,233.79564833641052
alpha_0.7,apache@sling,0.9717380430366579,0.045345601386638644,0.989247311827957,982,0.7,0.5761106014251709,237.08654975891113
alpha_1.0,apache@sling,0.9514075140565459,0.06758668375160197,0.9837837837837837,982,1.0,0.5433785915374756,234.51004767417908
alpha_optimized,apache@sling,0.971740795279736,0.045346906538571145,0.989247311827957,982,0.0,0.5240647792816162,7.558584213256836
dnn_epochs_5,apache@sling,0.9727992044365856,0.04490084497202716,0.9893617021276596,982,0.8,0.8587241172790527,245.19730591773987
dnn_epochs_10,apache@sling,0.9715272779951274,0.04796279097065776,0.9893617021276596,982,0.0,0.7626218795776367,7.785646438598633
dnn_epochs_20,apache@sling,0.9709115290841108,0.04760748729689538,0.9885842368640534,982,0.0,0.5979998111724854,7.595282554626465
pos_weight_10,apache@sling,0.9710864725957624,0.048792432402086125,0.9893617021276596,982,0.0,0.4961972236633301,7.01146936416626
pos_weight_25,apache@sling,0.9710542005978323,0.048058954558587635,0.9891891891891892,982,0.9,0.7239298820495605,236.4099862575531
pos_weight_100,apache@sling,0.9717597337875742,0.04541574550974955,0.9893617021276596,982,0.0,0.5647804737091064,7.326262474060059
alpha_0.0,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,0.0,0.0,0.5567090511322021
alpha_0.3,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,0.3,0.0,0.5449755191802979
alpha_0.5,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,0.5,0.0,0.5274143218994141
alpha_0.7,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,0.7,0.0,0.532233715057373
alpha_1.0,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,1.0,0.0,0.5057868957519531
alpha_optimized,brettwooldridge@HikariCP,0.6814450611553663,0.22917818258426145,0.65,21,0.0,0.0,0.5380775928497314
dnn_epochs_5,brettwooldridge@HikariCP,0.5878764123733166,0.21815699586559553,0.5476190476190477,21,0.0,0.0,0.5302577018737793
dnn_epochs_10,brettwooldridge@HikariCP,0.6305255300500767,0.20981434246874767,0.5833333333333334,21,0.0,0.0,1.2656595706939697
dnn_epochs_20,brettwooldridge@HikariCP,0.6497109640077354,0.22841113057537804,0.625,21,0.0,0.0,0.5487103462219238
pos_weight_10,brettwooldridge@HikariCP,0.6838726988771218,0.195312039139413,0.6904761904761906,21,0.0,0.0,0.546318531036377
pos_weight_25,brettwooldridge@HikariCP,0.6620039513781222,0.22142959800619966,0.6904761904761906,21,0.0,0.0,0.5315301418304443
pos_weight_100,brettwooldridge@HikariCP,0.6751025241405605,0.1910096695677809,0.65,21,0.0,0.0,0.5556068420410156
alpha_0.0,deeplearning4j@deeplearning4j,0.8448499709416328,0.1365187583018413,0.8846153846153846,117,0.0,0.4472379684448242,0.5136308670043945
alpha_0.3,deeplearning4j@deeplearning4j,0.8449924210840831,0.13654144667118892,0.8846153846153846,117,0.3,0.5252676010131836,3.5306146144866943
alpha_0.5,deeplearning4j@deeplearning4j,0.8467832228748848,0.13295355817294302,0.8928571428571429,117,0.5,0.43793630599975586,3.341254711151123
alpha_0.7,deeplearning4j@deeplearning4j,0.8471902232818852,0.1328388263600589,0.8928571428571429,117,0.7,0.43750858306884766,3.540285587310791
alpha_1.0,deeplearning4j@deeplearning4j,0.8525314031986226,0.1313968053282287,0.9,117,1.0,0.43358421325683594,3.3854589462280273
alpha_optimized,deeplearning4j@deeplearning4j,0.8485526745374988,0.13315117716556757,0.8928571428571429,117,0.9,0.4876065254211426,3.4413797855377197
dnn_epochs_5,deeplearning4j@deeplearning4j,0.8417423458832983,0.13970615463896854,0.8846153846153846,117,0.8,0.3560514450073242,3.4290096759796143
dnn_epochs_10,deeplearning4j@deeplearning4j,0.842678130715453,0.1400537219103155,0.8928571428571429,117,0.8,0.4996018409729004,4.045496225357056
dnn_epochs_20,deeplearning4j@deeplearning4j,0.8463660715517316,0.13284643643697389,0.8846153846153846,117,0.8,0.5598711967468262,3.307856321334839
pos_weight_10,deeplearning4j@deeplearning4j,0.8486660663023545,0.1346431822706793,0.8846153846153846,117,0.9,0.45392584800720215,3.396911859512329
pos_weight_25,deeplearning4j@deeplearning4j,0.8485526745374988,0.13315117716556757,0.8928571428571429,117,0.9,0.4749138355255127,3.451381206512451
pos_weight_100,deeplearning4j@deeplearning4j,0.8485526745374988,0.13315117716556757,0.8928571428571429,117,0.9,0.6266062259674072,3.425999641418457
alpha_0.0,doanduyhai@Achilles,0.8622803986022786,0.13949627615897317,0.926731078904992,13,0.0,0.7400877475738525,0.4852890968322754
alpha_0.3,doanduyhai@Achilles,0.8622803986022786,0.13949627615897317,0.926731078904992,13,0.3,0.5630342960357666,2.129603624343872
alpha_0.5,doanduyhai@Achilles,0.8622803986022786,0.13949627615897317,0.926731078904992,13,0.5,0.6651034355163574,2.2007696628570557
alpha_0.7,doanduyhai@Achilles,0.8622803986022786,0.13949627615897317,0.926731078904992,13,0.7,0.5980947017669678,2.9157674312591553
alpha_1.0,doanduyhai@Achilles,0.7164899392419138,0.22499882239433233,0.8227513227513228,13,1.0,0.6126458644866943,2.331742286682129
alpha_optimized,doanduyhai@Achilles,0.8622803986022786,0.13949627615897317,0.926731078904992,13,0.0,0.5610077381134033,0.5037755966186523
dnn_epochs_5,doanduyhai@Achilles,0.8599532098411931,0.13853158330437446,0.9196428571428571,13,0.0,0.6775970458984375,0.48175740242004395
dnn_epochs_10,doanduyhai@Achilles,0.8648725809783004,0.129841293398988,0.9151785714285714,13,0.0,0.8095865249633789,0.48999667167663574
dnn_epochs_20,doanduyhai@Achilles,0.866524192526904,0.13014160707825112,0.9241071428571428,13,0.9,0.4257183074951172,2.0937647819519043
pos_weight_10,doanduyhai@Achilles,0.8629457119411845,0.14335730919212678,0.9241071428571428,13,0.0,0.9283349514007568,0.5054326057434082
pos_weight_25,doanduyhai@Achilles,0.8644456716727695,0.13967056353447177,0.9264069264069265,13,0.0,0.8513157367706299,0.5017354488372803
pos_weight_100,doanduyhai@Achilles,0.8662646025190829,0.13512298934290962,0.9285714285714286,13,0.0,0.58843994140625,0.4981367588043213
alpha_0.0,dynjs@dynjs,0.6909530703504564,0.2302164574516174,0.7337662337662337,11,0.0,0.4537472724914551,0.3853790760040283
alpha_0.3,dynjs@dynjs,0.6909530703504564,0.2302164574516174,0.7337662337662337,11,0.3,0.6050763130187988,1.2053649425506592
alpha_0.5,dynjs@dynjs,0.6909530703504564,0.2302164574516174,0.7337662337662337,11,0.5,0.3984978199005127,1.1803851127624512
alpha_0.7,dynjs@dynjs,0.6909530703504564,0.2302164574516174,0.7337662337662337,11,0.7,0.4253242015838623,1.1889493465423584
alpha_1.0,dynjs@dynjs,0.47217336381245634,0.19704416828518814,0.4466666666666666,11,1.0,0.4134042263031006,1.188234567642212
alpha_optimized,dynjs@dynjs,0.6909530703504564,0.2302164574516174,0.7337662337662337,11,0.0,0.41675853729248047,0.38297200202941895
dnn_epochs_5,dynjs@dynjs,0.7824230803883027,0.2045668964341083,0.8200000000000001,11,0.6,0.3875770568847656,1.1837291717529297
dnn_epochs_10,dynjs@dynjs,0.7426133698463878,0.22047973632424125,0.875,11,0.9,0.4451727867126465,1.1961696147918701
dnn_epochs_20,dynjs@dynjs,0.7778157574512155,0.16647517963015016,0.8636363636363636,11,0.4,0.5928745269775391,1.1929957866668701
pos_weight_10,dynjs@dynjs,0.6959385366615631,0.24796355866196876,0.8200000000000001,11,0.0,0.4478604793548584,0.38423895835876465
pos_weight_25,dynjs@dynjs,0.5021477713988024,0.19653286485597735,0.47857142857142854,11,0.0,0.4476451873779297,0.38050198554992676
pos_weight_100,dynjs@dynjs,0.7434075927430593,0.2205864044142213,0.8506493506493505,11,0.9,0.42299604415893555,1.181499719619751
alpha_0.0,eclipse@jetty.project,0.9635282668798296,0.09021994980001537,0.9910071942446043,61,0.0,0.38190793991088867,0.30974292755126953
alpha_0.3,eclipse@jetty.project,0.9635282668798296,0.09021994980001537,0.9910071942446043,61,0.3,0.3944699764251709,8.144436120986938
alpha_0.5,eclipse@jetty.project,0.9633245322498655,0.09043249242897823,0.9910071942446043,61,0.5,0.32152771949768066,8.153931856155396
alpha_0.7,eclipse@jetty.project,0.9635747374181034,0.08879075702325523,0.9910071942446043,61,0.7,0.30004096031188965,7.899754524230957
alpha_1.0,eclipse@jetty.project,0.8526895598216303,0.21384931823094297,0.9857142857142857,61,1.0,0.3198115825653076,8.80234169960022
alpha_optimized,eclipse@jetty.project,0.9635282668798296,0.09021994980001537,0.9910071942446043,61,0.0,0.3144094944000244,0.3495790958404541
dnn_epochs_5,eclipse@jetty.project,0.9592824688103904,0.12290631116969161,0.9917582417582418,61,0.0,0.6200332641601562,0.3618497848510742
dnn_epochs_10,eclipse@jetty.project,0.970462407513493,0.06021944368262413,0.9910071942446043,61,0.0,0.4433920383453369,0.4150056838989258
dnn_epochs_20,eclipse@jetty.project,0.9641192724086245,0.09128274924622465,0.9946043165467626,61,0.0,0.31183576583862305,0.33528804779052734
pos_weight_10,eclipse@jetty.project,0.9660623967773163,0.0830670036452403,0.9912587412587412,61,0.9,0.37853193283081055,7.88654088973999
pos_weight_25,eclipse@jetty.project,0.964328454341166,0.08159640316401393,0.9912587412587412,61,0.0,0.42235612869262695,0.3367428779602051
pos_weight_100,eclipse@jetty.project,0.9658214883842441,0.08235704943112702,0.9912587412587412,61,0.8,0.3730742931365967,7.776880502700806
alpha_0.0,facebook@buck,0.9830154475921901,0.023267606123423632,0.9879807692307693,94,0.0,0.6293301582336426,1.6727888584136963
alpha_0.3,facebook@buck,0.9829877586101134,0.02337056318876888,0.9879807692307693,94,0.3,0.6112327575683594,62.86795997619629
alpha_0.5,facebook@buck,0.9829092288600926,0.023697603525119276,0.9879807692307693,94,0.5,0.5476744174957275,56.98625993728638
alpha_0.7,facebook@buck,0.982777151348381,0.02423844294870687,0.9879807692307693,94,0.7,0.5309724807739258,57.146902084350586
alpha_1.0,facebook@buck,0.9661665632340942,0.08344810578976689,0.9863583572266068,94,1.0,0.5829129219055176,57.72401189804077
alpha_optimized,facebook@buck,0.9826602591610466,0.02500848624163219,0.9879807692307693,94,0.9,0.6043777465820312,57.855814933776855
dnn_epochs_5,facebook@buck,0.9824141159640335,0.025524761040460513,0.9879807692307693,94,0.9,0.4752936363220215,56.11343312263489
dnn_epochs_10,facebook@buck,0.9828831856091176,0.02360522992164876,0.9879807692307693,94,0.9,0.46475720405578613,56.717745542526245
dnn_epochs_20,facebook@buck,0.982712453677854,0.023603263154071203,0.9879807692307693,94,0.9,0.40604567527770996,56.775996923446655
pos_weight_10,facebook@buck,0.9821436390492654,0.024841170455654732,0.9879614457086323,94,0.7,0.8118817806243896,58.50344371795654
pos_weight_25,facebook@buck,0.9826244935358665,0.02487307835823897,0.9879614457086323,94,0.8,0.5742120742797852,58.88677644729614
pos_weight_100,facebook@buck,0.9828868610971404,0.023507792266943845,0.9879807692307693,94,0.8,0.5285592079162598,58.68989658355713
alpha_0.0,jOOQ@jOOQ,0.9336189737488241,0.09706553437197539,0.9838709677419355,127,0.0,0.3332207202911377,1.2461307048797607
alpha_0.3,jOOQ@jOOQ,0.9336189737488241,0.09706553437197539,0.9838709677419355,127,0.3,0.37216663360595703,7.8751866817474365
alpha_0.5,jOOQ@jOOQ,0.9336189737488241,0.09706553437197539,0.9838709677419355,127,0.5,0.3287801742553711,6.77106237411499
alpha_0.7,jOOQ@jOOQ,0.9336189737488241,0.09706553437197539,0.9838709677419355,127,0.7,0.33680295944213867,7.853910684585571
alpha_1.0,jOOQ@jOOQ,0.9114389697591351,0.10354062877956269,0.9838709677419355,127,1.0,0.3180704116821289,7.748070001602173
alpha_optimized,jOOQ@jOOQ,0.9336189737488241,0.09706553437197539,0.9838709677419355,127,0.0,0.3315463066101074,1.3085908889770508
dnn_epochs_5,jOOQ@jOOQ,0.9345152973444343,0.09456742069746978,0.9838709677419355,127,0.0,0.5217442512512207,1.299696683883667
dnn_epochs_10,jOOQ@jOOQ,0.9320715573327896,0.09527108072098245,0.9838709677419355,127,0.0,0.3606750965118408,1.2217018604278564
dnn_epochs_20,jOOQ@jOOQ,0.9376337516186866,0.09059346723131571,0.9838709677419355,127,0.0,0.3795773983001709,1.3076682090759277
pos_weight_10,jOOQ@jOOQ,0.9362250533634348,0.090919839816126,0.9838709677419355,127,0.0,0.3015727996826172,1.2429585456848145
pos_weight_25,jOOQ@jOOQ,0.9316365668599906,0.10178255578166397,0.9838709677419355,127,0.0,0.3522012233734131,1.1543686389923096
pos_weight_100,jOOQ@jOOQ,0.9337879655046069,0.09446963565836547,0.9838709677419355,127,0.0,0.33602380752563477,1.2816798686981201
alpha_0.0,jcabi@jcabi-github,0.906506327932717,0.17987347744300453,0.9949748743718593,93,0.0,0.3002786636352539,1.654689073562622
alpha_0.3,jcabi@jcabi-github,0.9062933277498453,0.18026533684736942,0.9949748743718593,93,0.3,0.2775905132293701,15.056382179260254
alpha_0.5,jcabi@jcabi-github,0.9063159872522427,0.1800922368676581,0.9949748743718593,93,0.5,0.30478715896606445,15.565919399261475
alpha_0.7,jcabi@jcabi-github,0.9057689981162622,0.1807690345204326,0.9949748743718593,93,0.7,0.314380407333374,13.509556531906128
alpha_1.0,jcabi@jcabi-github,0.7051566836544635,0.2859944410850729,0.6499999999999999,93,1.0,0.28629279136657715,15.045074224472046
alpha_optimized,jcabi@jcabi-github,0.906506327932717,0.17987347744300453,0.9949748743718593,93,0.0,0.2709224224090576,1.6857531070709229
dnn_epochs_5,jcabi@jcabi-github,0.925606832000765,0.1584706764883066,0.9949748743718593,93,0.6,0.4581437110900879,13.355945587158203
dnn_epochs_10,jcabi@jcabi-github,0.9242049759281937,0.15019494128184072,0.9949748743718593,93,0.2,0.5185317993164062,15.417218446731567
dnn_epochs_20,jcabi@jcabi-github,0.9201612234400609,0.15641410817921184,0.9949748743718593,93,0.0,0.5411262512207031,1.6744136810302734
pos_weight_10,jcabi@jcabi-github,0.9188708814391785,0.15470560231823954,0.9949748743718593,93,0.8,0.3669624328613281,15.537795782089233
pos_weight_25,jcabi@jcabi-github,0.9189003476493115,0.15900678473326324,0.9949748743718593,93,0.9,0.30670928955078125,13.603216648101807
pos_weight_100,jcabi@jcabi-github,0.9257106643630809,0.150892059738313,0.9949748743718593,93,0.6,0.32442164421081543,15.445526361465454
alpha_0.0,jsprit@jsprit,0.9463753870272494,0.06024831835470761,0.9873012009087958,10,0.0,0.8800191879272461,0.41813230514526367
alpha_0.3,jsprit@jsprit,0.9463753870272494,0.06024831835470761,0.9873012009087958,10,0.3,0.6205296516418457,1.3204848766326904
alpha_0.5,jsprit@jsprit,0.9463753870272494,0.06024831835470761,0.9873012009087958,10,0.5,0.5087378025054932,1.2371587753295898
alpha_0.7,jsprit@jsprit,0.9463753870272494,0.06024831835470761,0.9873012009087958,10,0.7,0.5216264724731445,1.2161526679992676
alpha_1.0,jsprit@jsprit,0.8419553424627019,0.12977444865658844,0.8848077824660103,10,1.0,0.5377426147460938,1.1867713928222656
alpha_optimized,jsprit@jsprit,0.9463753870272494,0.06024831835470761,0.9873012009087958,10,0.5,0.48029613494873047,1.2562453746795654
dnn_epochs_5,jsprit@jsprit,0.8502997642561352,0.2868378227954331,0.9551282051282051,10,0.5,0.43560171127319336,1.1330177783966064
dnn_epochs_10,jsprit@jsprit,0.9430977225045272,0.06861182995517544,0.9936303148328465,10,0.5,0.36414289474487305,1.191542625427246
dnn_epochs_20,jsprit@jsprit,0.9396765453894231,0.06359678064480702,0.968313859136644,10,0.5,0.3811657428741455,1.264517068862915
pos_weight_10,jsprit@jsprit,0.9490230057738585,0.05940190230551002,0.9809720869847453,10,0.5,0.5224001407623291,1.2359073162078857
pos_weight_25,jsprit@jsprit,0.9276974686024957,0.07327653036326413,0.9625356125356126,10,0.5,0.5083169937133789,3.306727886199951
pos_weight_100,jsprit@jsprit,0.9462141118279996,0.057731516994601086,0.9746835443037976,10,0.5,0.5668201446533203,1.3267977237701416
alpha_0.0,julianhyde@optiq,0.9239350678717596,0.09108855653323507,0.980414273995078,28,0.0,0.39669203758239746,0.6200857162475586
alpha_0.3,julianhyde@optiq,0.9239350678717596,0.09108855653323507,0.980414273995078,28,0.3,0.4215219020843506,1.817392110824585
alpha_0.5,julianhyde@optiq,0.9239350678717596,0.09108855653323507,0.980414273995078,28,0.5,0.3638317584991455,1.9418179988861084
alpha_0.7,julianhyde@optiq,0.9239350678717596,0.09108855653323507,0.980414273995078,28,0.7,0.5372214317321777,3.8571102619171143
alpha_1.0,julianhyde@optiq,0.7373314383049551,0.18209872827659807,0.764728532922603,28,1.0,0.38416218757629395,1.921635627746582
alpha_optimized,julianhyde@optiq,0.9239350678717596,0.09108855653323507,0.980414273995078,28,0.0,0.36438584327697754,0.6234829425811768
dnn_epochs_5,julianhyde@optiq,0.9086768293585142,0.10024549155707455,0.9528301886792453,28,0.0,0.8085696697235107,0.6453101634979248
dnn_epochs_10,julianhyde@optiq,0.924362100207605,0.08982530585414833,0.9716981132075472,28,0.0,0.4604682922363281,0.642463207244873
dnn_epochs_20,julianhyde@optiq,0.9213021014434808,0.10046861725744395,0.9843611357586513,28,0.0,0.3042788505554199,0.5868065357208252
pos_weight_10,julianhyde@optiq,0.920850950127627,0.08928276823829082,0.9716981132075472,28,0.0,0.373218297958374,0.6279957294464111
pos_weight_25,julianhyde@optiq,0.9227616663435435,0.09144650471132351,0.9711431742508324,28,0.0,0.373309850692749,0.6433360576629639
pos_weight_100,julianhyde@optiq,0.9168653690939712,0.09132283032976643,0.960338852522141,28,0.9,0.38010358810424805,1.9100570678710938
alpha_0.0,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.0,0.3084580898284912,0.4977385997772217
alpha_0.3,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.3,0.3436121940612793,4.594197988510132
alpha_0.5,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.5,0.3708367347717285,6.545941591262817
alpha_0.7,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.7,0.3829922676086426,4.506407260894775
alpha_1.0,l0rdn1kk0n@wicket-bootstrap,0.5814106527083283,0.1445763033441099,0.6337258200168209,87,1.0,0.3900797367095947,4.467770576477051
alpha_optimized,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.0,0.2765018939971924,0.5663175582885742
dnn_epochs_5,l0rdn1kk0n@wicket-bootstrap,0.6080570834982999,0.10085236817121632,0.6463414634146342,87,0.9,0.3708508014678955,5.146731376647949
dnn_epochs_10,l0rdn1kk0n@wicket-bootstrap,0.6092981397372058,0.09675972827261355,0.6463414634146342,87,0.0,0.2949233055114746,0.5034270286560059
dnn_epochs_20,l0rdn1kk0n@wicket-bootstrap,0.6092438224627472,0.09561334955514526,0.6463414634146342,87,0.0,0.35570788383483887,0.5053024291992188
pos_weight_10,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.0,0.3967280387878418,0.625596284866333
pos_weight_25,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.0,0.27005743980407715,0.5329406261444092
pos_weight_100,l0rdn1kk0n@wicket-bootstrap,0.6047077843031233,0.10948158134677632,0.6463414634146342,87,0.0,0.2678992748260498,0.5436124801635742
alpha_0.0,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.0,0.4411442279815674,0.36780309677124023
alpha_0.3,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.3,0.26856207847595215,1.5179238319396973
alpha_0.5,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.5,0.26048922538757324,1.4879865646362305
alpha_0.7,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.7,0.2861008644104004,1.4960103034973145
alpha_1.0,neuland@jade4j,0.5908518910088114,0.12289551642861096,0.5487804878048781,27,1.0,0.27307820320129395,1.6034541130065918
alpha_optimized,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.4,0.28130459785461426,1.5825374126434326
