method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
Filo-Priori,CloudifySource@cloudify,7509583,rtptorrent,48,0,0.84375,0.0
Filo-Priori,CloudifySource@cloudify,6702588,rtptorrent,37,0,0.9864864864864865,0.0
Filo-Priori,CloudifySource@cloudify,8687557,rtptorrent,37,0,0.9864864864864865,0.0
Filo-Priori,CloudifySource@cloudify,7435716,rtptorrent,37,0,0.2567567567567567,0.0
Filo-Priori,CloudifySource@cloudify,7624913,rtptorrent,48,0,0.9166666666666666,0.0
Filo-Priori,CloudifySource@cloudify,20477651,rtptorrent,55,0,0.9727272727272727,0.0
Filo-Priori,CloudifySource@cloudify,7348854,rtptorrent,47,0,0.9893617021276595,0.0
Filo-Priori,CloudifySource@cloudify,9942855,rtptorrent,58,0,0.9913793103448275,0.0
Filo-Priori,CloudifySource@cloudify,4428316,rtptorrent,26,0,0.9038461538461539,0.0
Filo-Priori,CloudifySource@cloudify,6799964,rtptorrent,41,0,0.9878048780487805,0.0
Filo-Priori,CloudifySource@cloudify,3096760,rtptorrent,21,0,0.9285714285714286,0.0
Filo-Priori,CloudifySource@cloudify,9869627,rtptorrent,57,0,0.9912280701754386,0.0
Filo-Priori,CloudifySource@cloudify,7095405,rtptorrent,28,0,0.9464285714285715,0.0
Filo-Priori,CloudifySource@cloudify,6567473,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,1775440,rtptorrent,14,0,0.3928571428571428,0.0
Filo-Priori,CloudifySource@cloudify,9833480,rtptorrent,57,0,0.9912280701754386,0.0
Filo-Priori,CloudifySource@cloudify,10115664,rtptorrent,57,0,0.9912280701754386,0.0
Filo-Priori,CloudifySource@cloudify,6534536,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,7372145,rtptorrent,37,0,0.8783783783783784,0.0
Filo-Priori,CloudifySource@cloudify,1826391,rtptorrent,15,0,0.9333333333333333,0.0
Filo-Priori,CloudifySource@cloudify,7764163,rtptorrent,48,0,0.9479166666666666,0.0
Filo-Priori,CloudifySource@cloudify,7419774,rtptorrent,47,0,0.9893617021276595,0.0
Filo-Priori,CloudifySource@cloudify,6699776,rtptorrent,37,0,0.9864864864864865,0.0
Filo-Priori,CloudifySource@cloudify,6996751,rtptorrent,35,0,0.9285714285714285,0.0
Filo-Priori,CloudifySource@cloudify,6533600,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,7101514,rtptorrent,42,0,0.988095238095238,0.0
Filo-Priori,CloudifySource@cloudify,13432816,rtptorrent,69,0,0.9565217391304348,0.0
Filo-Priori,CloudifySource@cloudify,6509943,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,16253334,rtptorrent,55,0,0.9181818181818181,0.0
Filo-Priori,CloudifySource@cloudify,1810455,rtptorrent,15,0,0.7166666666666667,0.0
Filo-Priori,CloudifySource@cloudify,1734940,rtptorrent,14,0,0.9642857142857143,0.0
Filo-Priori,CloudifySource@cloudify,7836855,rtptorrent,28,0,0.6607142857142857,0.0
Filo-Priori,CloudifySource@cloudify,2395703,rtptorrent,17,0,0.5882352941176471,0.0
Filo-Priori,CloudifySource@cloudify,7105392,rtptorrent,41,0,0.6951219512195121,0.0
Filo-Priori,CloudifySource@cloudify,6560200,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,6754920,rtptorrent,38,0,0.986842105263158,0.0
Filo-Priori,CloudifySource@cloudify,1905732,rtptorrent,15,0,0.9666666666666667,0.0
Filo-Priori,CloudifySource@cloudify,7774953,rtptorrent,49,0,0.9795918367346939,0.0
